canonical_smiles,molecule_chembl_id,standard_type,type,value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CN(C)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.Cl,CHEMBL542360,IC50,IC50,1.0,inactive,323.24499999999995,3.0270000000000015,1.0,5.0,3.0
N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCC(O)CC2)o1,CHEMBL345849,IC50,IC50,390.0,active,370.45700000000016,0.4898599999999996,3.0,8.0,6.4089353929735005
CN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,CHEMBL154689,IC50,IC50,390.0,active,314.39300000000003,0.5947600000000013,2.0,7.0,6.4089353929735005
CCN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,CHEMBL346733,IC50,IC50,430.0,active,328.42,0.9848600000000001,2.0,7.0,6.366531544420414
COc1ccc(C(=O)/C(=N/O)SCCN(C)C)cc1,CHEMBL416464,IC50,IC50,1.0,inactive,282.36499999999995,1.9604,1.0,6.0,3.0
C[N+](C)(C)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.[Cl-],CHEMBL47815,IC50,IC50,,intermediate,337.27200000000005,-0.2461999999999993,1.0,4.0,
CCN(CC)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1.Cl,CHEMBL1203539,IC50,IC50,600.0,active,378.9080000000001,1.7967600000000008,2.0,7.0,6.221848749616356
CN(C)Cc1ccc(CNCCN2CCN/C2=C\[N+](=O)[O-])o1,CHEMBL347729,IC50,IC50,2000.0,intermediate,309.37,0.4116000000000016,2.0,7.0,5.698970004336019
CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(Cl)cc1.[Cl-],CHEMBL296786,IC50,IC50,1.0,inactive,365.326,0.534,1.0,4.0,3.0
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCN4CCOCC4)ccc3N(C)[C@@H]12,CHEMBL63173,IC50,IC50,21.0,inactive,402.5390000000002,2.2565,1.0,6.0,4.6777807052660805
CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,CHEMBL433041,IC50,IC50,0.29,active,359.5140000000002,4.114500000000003,1.0,4.0,6.5376020021010435
CN1CC[C@@]2(C)c3cc(OC(=O)NCCN4CCOCC4)ccc3N(C)[C@@H]12,CHEMBL292788,IC50,IC50,0.7,active,374.4850000000001,1.4763000000000004,1.0,6.0,6.154901959985743
NC(=O)c1cc[n+](COC[n+]2ccccc2/C=N/O)cc1.[Cl-].[Cl-],CHEMBL33051,IC50,IC50,0.46,inactive,359.21299999999997,-6.191599999999997,2.0,4.0,3.337242168318426
CNC(NCCNCc1ccc(CN(C)C)o1)=C(C#N)C#N,CHEMBL155392,IC50,IC50,630.0,active,302.38200000000006,0.4985600000000012,3.0,7.0,6.200659450546418
CNC(NCCNCc1ccc(CN(C(C)C)C(C)C)o1)=C(C#N)C#N,CHEMBL153311,IC50,IC50,2100.0,intermediate,358.4900000000002,2.0557600000000003,3.0,7.0,5.6777807052660805
CC(C)N(CCS/C(=N\O)C(=O)c1ccc(Cl)cc1)C(C)C.Cl,CHEMBL543546,IC50,IC50,0.33,inactive,379.353,4.5842000000000045,1.0,5.0,3.4814860601221125
C[n+]1ccccc1C=NO,CHEMBL1420,IC50,IC50,0.34,inactive,137.162,0.3191999999999999,1.0,2.0,3.4685210829577446
CCN(CC)CCS/C(=N\O)C(=O)c1ccccc1.Cl,CHEMBL556172,IC50,IC50,1.0,inactive,316.854,3.1538000000000017,1.0,5.0,3.0
CC1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,CHEMBL154263,IC50,IC50,290.0,active,368.4850000000001,1.76506,2.0,7.0,6.5376020021010435
CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Br)cc1.Cl,CHEMBL544669,IC50,IC50,0.21,inactive,395.74999999999994,3.9163000000000037,1.0,5.0,3.677780705266081
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,CHEMBL62664,IC50,IC50,0.04,active,500.72800000000046,4.987200000000005,1.0,6.0,7.3979400086720375
N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCC2)o1,CHEMBL155111,IC50,IC50,80.0,active,340.43100000000015,1.1289599999999989,2.0,7.0,7.096910013008056
Cl.N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CC=CCC2)o1,CHEMBL1203534,IC50,IC50,95.0,active,388.9030000000002,1.7168599999999998,2.0,7.0,7.022276394711152
CN(C)CCS/C(=N\O)C(=O)c1ccc(Br)cc1.Cl,CHEMBL541044,IC50,IC50,0.71,inactive,367.69599999999997,3.136100000000002,1.0,5.0,3.1487416512809245
CCN(CC)CCS/C(=N\O)C(=O)c1ccc(C#N)cc1.Cl,CHEMBL543779,IC50,IC50,0.18,inactive,341.864,3.0254800000000013,1.0,6.0,3.744727494896694
CNC(NCCNCc1ccc(COC)o1)=C(C#N)C#N,CHEMBL155495,IC50,IC50,20000.0,inactive,289.339,0.5833600000000008,3.0,7.0,4.698970004336019
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,CHEMBL64011,IC50,IC50,0.06,active,472.6740000000004,4.207000000000003,1.0,6.0,7.221848749616356
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,CHEMBL65585,IC50,IC50,0.07,active,514.7550000000006,5.377300000000006,1.0,6.0,7.154901959985743
CNC(NCCNCc1ccc(CN2CCCC2)o1)=C(C#N)C#N,CHEMBL347539,IC50,IC50,280.0,active,328.4200000000001,1.0327600000000006,3.0,7.0,6.552841968657781
N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCOCC2)o1,CHEMBL154433,IC50,IC50,11000.0,inactive,356.4300000000002,0.36536000000000035,2.0,8.0,4.958607314841775
N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCSCC2)o1,CHEMBL157208,IC50,IC50,1500.0,intermediate,372.49800000000016,1.0819599999999991,2.0,8.0,5.823908740944319
CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,CHEMBL1790041,IC50,IC50,650.0,active,314.411,1.4589999999999999,2.0,7.0,6.187086643357144
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,CHEMBL65356,IC50,IC50,0.93,active,430.59300000000025,3.0367000000000015,1.0,6.0,6.031517051446065
CC1CCCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)C1,CHEMBL154366,IC50,IC50,370.0,active,368.4850000000001,1.7650599999999999,2.0,7.0,6.431798275933005
CC1CCCC(C)N1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,CHEMBL153821,IC50,IC50,4500.0,intermediate,382.51200000000017,2.2960599999999998,2.0,7.0,5.346787486224656
CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(F)cc1.[Cl-],CHEMBL416644,IC50,IC50,0.72,inactive,348.871,0.01970000000000144,1.0,4.0,3.1426675035687315
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,CHEMBL94,IC50,IC50,0.03,active,275.352,1.7739,1.0,4.0,7.522878745280337
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,CHEMBL303574,IC50,IC50,7.6,intermediate,416.5660000000002,2.6466000000000003,1.0,6.0,5.119186407719209
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,CHEMBL65018,IC50,IC50,0.08,active,458.64700000000033,3.816900000000002,1.0,6.0,7.096910013008056
CC[N+](C)(CC)CCS/C(=N\O)C(=O)c1ccc(C#N)cc1.[Cl-],CHEMBL296277,IC50,IC50,1.0,inactive,355.8910000000001,-0.2477199999999986,1.0,5.0,3.0
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,CHEMBL66309,IC50,IC50,0.38,active,444.6200000000003,3.426800000000002,1.0,6.0,6.42021640338319
COC1CCCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)C1.Cl,CHEMBL1203535,IC50,IC50,3300.0,intermediate,420.9450000000002,1.5657600000000003,2.0,8.0,5.481486060122113
C[N+](C)(C)CCS/C(=N\O)C(=O)c1ccc(Br)cc1.[I-],CHEMBL296560,IC50,IC50,1.0,inactive,473.174,-0.13709999999999978,1.0,4.0,3.0
CN(C)CCS/C(=N\O)C(=O)c1cccc2ccccc12.Cl,CHEMBL555477,IC50,IC50,,intermediate,338.86000000000007,3.526800000000003,1.0,5.0,
N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCC(O)C2)o1,CHEMBL152260,IC50,IC50,370.0,active,370.45700000000016,0.4898599999999996,3.0,8.0,6.431798275933005
C/N=c1\c(O)c(O)\c1=N/CCNCc1ccc(CN2CCCCC2)o1,CHEMBL154950,IC50,IC50,9300.0,intermediate,346.43100000000015,0.7732999999999994,3.0,7.0,5.031517051446065
